date,SKUCode,Description,total_qty
20260104,1325219316087VURP0,195/55R16 UX ROYALE TL  87V Puncture Guard,1260
20260104,1325219316087VUTR0,195/55R16 UX TOURING TL,963
20260104,1325219416089HRHE0,195/60R16 Ranger HPE TL,1542
20260104,1325219515091VURL0,195/65 R15 UX ROYALE TL   91V,175
20260104,1325220316091VURL1,205/55 R 16 UX ROYALE TL  91V,664
20260104,1325220416092VURL0,205/60R16  UX ROYALE   TL  92V,400
20260104,1325220515094VURL1,205/65 R15 UX-ROYALE TL  94V SASO,238
20260104,1325220515094VUTR0,205/65R15 UX TOURING TL  94V,818
20260104,1325220515094VZEP0,205/65 R15 ZEPHYR  TL   94 V,92
20260104,1325220516095HTMX0,NA,1023
20260104,1325220516095HUTR0,205/65R16UX TOURING TL 95H,150
20260104,1325221317098VUX10,215/55R17UX1 TL 98 V,868
20260104,1325221416095VURL0,215/60 R16 UX ROYALE TL YAD MC -MSIL ,980
20260104,1325221417100HURL1,215/60 R17 UX ROYALE TL    100H,1083
20260104,1325221715100SRHT0,215/75 R 15 RANGER HT TL,2198
20260104,1325221715100SRXT0,215/75 R 15 RANGER X-AT TL,276
20260104,1325222317101VUX10,225/55R17 UX1 101V ,1155
20260104,1325222417099HURL0,225/60R17 UX ROYAL 99H TL,104
20260104,1325223317103VUX10,NA,56
20260104,1325223517104HRHT0,235/65R17 RANHER HT TL,958
20260104,1325223517104HRPG0,NA,332
20260104,1325223616105HRHT0,235/70R16 Ranger HT TL,412
20260104,1325223715105SRXT0,235/75 R 15 RANGER X-AT TL,759
20260104,1325226517112HRHT0,265/65R17 RANHER HT 112H TL,243
20260104,1425118916008QRBT0,185/85R16 RANGER BRUTE TT LT 105Q,231
20260104,1D25115013008QXPC0,155 R13 ULTIMA XPC Q TT,189
20260104,1D25212812074FXC10,120/80 R 12 ULTIMA XPC 1 TL,17835
20260104,1D25212812086FXPC0,120/80R12 ULTIMA XPC TL,15660
20260104,1D25213812090FXPC0,130/80R12 ULTIMA XPC TL 90 F,14551
20260104,1D25215Z13008QXPC0,155R13 ULTIMA XPC  Q TL,468
20260105,1225119015010QSTL0,195R15 LT STEEL KING TT  10 PR,66
20260105,1225121715115SSTL0,215 / 75 R 15 STEEL KING TT,615
20260105,1225121716010SXC10,NA,481
20260105,1225121Z14112LSTL0,215 R14 STEEL KING TT,8
20260105,1225170015010LSTL0,7.00R15 STEEL KING TT 10PR,956
20260105,1225170015012LSTL0,7.00R15 STEEL KING TT 12PR,4228
20260105,1225175016012NJTL0,7.50R16 LT JUH STEEL TT,98
20260105,1225219015008SLTB0,195/80R15 BRUTE LT 8PR S TL,647
20260105,1225219015010QSTL0,    195R15 LT STEEL KING TL  10 PR,144
20260105,1225220Z16008RXC10,205 R 16 ULTIMA XPC -1 TL,485
20260105,1225221715115SSTL0,215 / 75 R 15 STEEL KING TL,1613
20260105,1225221716010SXC10,NA,5696
20260105,1225222716121MXC11,225/75 R 16 ULTIMA XPC -1 TL VOLVO,47
20260105,1225222716121NXC11,NA,73
20260105,1225223516121PSKP0,235/65 R 16 STEEL KING+ TL,2851
20260105,1325114612069TUHL0,145/70R12 ULTIMA HILIFE69T TT,5203
20260105,1325114613071TTMX0,145/70 R 13 TAXIMAX TT  71T,274
20260105,1325114812074TUHL0,145/80R12 ULTIMA HILIFE TT 74T ,2146
20260105,1325119015008SRBT0,195 R15 LT RANGER BRT TT,536
20260105,1325119815106QBRQ0,195 / 80 R15 BRUTE TT  ,3217
20260105,1325121715100SBRT0,215/75 R15 BRUTE 4X4 TT,779
20260105,1325121715100SRBT0,NA,73
20260105,1325121715100SRXT0,215/75 R 15 RANGER X-AT  TT,2
20260105,1325121715115SLTB0,215 / 75 R 15 BRUTE L/T ( 3 PLY ),212
20260105,1325123715105SBRT0,235/75 R15 BRUTE 4X4 TT,902
20260105,1325123715105SRXT0,235/75 R 15 RANGER X-AT TT,82
20260105,1325213612065SULX1,135/70R12 Ultima LXT 65S TL ,1173
20260105,1325213615099MSXT0,T135/70R15 STAR-XT  TL,2132
20260105,1325214612069TUHL0,145/70R12 ULTIMA HILIFE 69T TL,1455
20260105,1325214613071TTMX0,145/70 R 13 TAXIMAX TL 71T,40
20260105,1325214812074TTMX0,145/80R12 TAXIMAX TL 74T,344
20260105,1325214812074TUHL0,145/80R12 ULTIMA HILIFE TL 74 T,454
20260105,1325214813075STMX0,145/80R13-TAXIMAX-75S-TL,96
20260105,1325214813075SUNE1,145/80 R13  ULTIMA  NEO TL Y0M,15632
20260105,1325215513073TUHL0,155/65R13 ULTIMA HILIFE  TL  73T,540
20260105,1325215613075TTMX0,155/70R13 TAXIMAX TL 75T,86
