date,SKUCode,Description,total_qty
20260103,1425118916008QRBT0,185/85R16 RANGER BRUTE TT LT 105Q,1426
20260103,1D25115013008QXPC0,155 R13 ULTIMA XPC Q TT,926
20260103,1D25212812074FXC10,120/80 R 12 ULTIMA XPC 1 TL,29118
20260103,1D25212812086FXPC0,120/80R12 ULTIMA XPC TL,15294
20260103,1D25213812090FXPC0,130/80R12 ULTIMA XPC TL 90 F,22273
20260103,1D25215Z13008QXPC0,155R13 ULTIMA XPC  Q TL,3065
20260104,1225119015010QSTL0,195R15 LT STEEL KING TT  10 PR,101
20260104,1225121715115SSTL0,215 / 75 R 15 STEEL KING TT,1142
20260104,1225121716010SXC10,NA,966
20260104,1225121Z14112LSTL0,215 R14 STEEL KING TT,443
20260104,1225170015010LSTL0,7.00R15 STEEL KING TT 10PR,3420
20260104,1225170015012LSTL0,7.00R15 STEEL KING TT 12PR,10901
20260104,1225175016012NJTL0,7.50R16 LT JUH STEEL TT,98
20260104,1225219015008SLTB0,195/80R15 BRUTE LT 8PR S TL,787
20260104,1225219015010QSTL0,    195R15 LT STEEL KING TL  10 PR,284
20260104,1225220Z16008RXC10,205 R 16 ULTIMA XPC -1 TL,761
20260104,1225221715115SSTL0,215 / 75 R 15 STEEL KING TL,2231
20260104,1225221716010SXC10,NA,7888
20260104,1225222716121MXC11,225/75 R 16 ULTIMA XPC -1 TL VOLVO,352
20260104,1225222716121NXC11,NA,557
20260104,1225223516121PSKP0,235/65 R 16 STEEL KING+ TL,4647
20260104,1325114612069TUHL0,145/70R12 ULTIMA HILIFE69T TT,8050
20260104,1325114613071TTMX0,145/70 R 13 TAXIMAX TT  71T,532
20260104,1325114812074TUHL0,145/80R12 ULTIMA HILIFE TT 74T ,9769
20260104,1325119015008SRBT0,195 R15 LT RANGER BRT TT,964
20260104,1325119815106QBRQ0,195 / 80 R15 BRUTE TT  ,8471
20260104,1325121715100SBRT0,215/75 R15 BRUTE 4X4 TT,1650
20260104,1325121715100SRBT0,NA,1595
20260104,1325121715100SRXT0,215/75 R 15 RANGER X-AT  TT,406
20260104,1325121715115SLTB0,215 / 75 R 15 BRUTE L/T ( 3 PLY ),1079
20260104,1325123715105SBRT0,235/75 R15 BRUTE 4X4 TT,1691
20260104,1325123715105SRXT0,235/75 R 15 RANGER X-AT TT,145
20260104,1325213612065SULX1,135/70R12 Ultima LXT 65S TL ,2730
20260104,1325213615099MSXT0,T135/70R15 STAR-XT  TL,12816
20260104,1325214612069TUHL0,145/70R12 ULTIMA HILIFE 69T TL,2067
20260104,1325214613071TTMX0,145/70 R 13 TAXIMAX TL 71T,535
20260104,1325214812074TTMX0,145/80R12 TAXIMAX TL 74T,2139
20260104,1325214812074TUHL0,145/80R12 ULTIMA HILIFE TL 74 T,2570
20260104,1325214813075STMX0,145/80R13-TAXIMAX-75S-TL,943
20260104,1325214813075SUNE1,145/80 R13  ULTIMA  NEO TL Y0M,39252
20260104,1325215513073TUHL0,155/65R13 ULTIMA HILIFE  TL  73T,1854
20260104,1325215613075TTMX0,155/70R13 TAXIMAX TL 75T,662
20260104,1325215613075TUHL0,155/70R13 ULTIMA HILIFE TL 75T,1865
20260104,1325215813079STMX0, 155/80R13 TAXIMAX TL 79S ,11209
20260104,1325215813079SUHL0,155/80R13 ULTIMA HILIFE TL 79 S,2901
20260104,1325215813079TUNE6,155/80R13 ULTIMA NEO 79T TL,605
20260104,1325216513077TUHL0,165/65R13 ULTIMA HILIFE 77T TL,1973
20260104,1325216514079TTMX0,165/65 R 14 TAXIMAX TL,2666
20260104,1325216614081STMX0,165/70 R 14 TAXIMAX TL ,9834
20260104,1325216614081SUTR0,NA,11235
20260104,1325216614081TVECE,NA,581
20260104,1325216814085STMX0,165/80 R14 TAXIMAX TL 85S,13495
20260104,1325216814085SUTR0,165/80R14 UX TOURING TL,5666
20260104,1325216814085TURL0,16580R14 UX ROYALE TL,9042
20260104,1325217413077TUSP0,175/60R13ULTIMA SPORT TL 77T,1131
20260104,1325217415081HUTR0,175/60 R 15 UX TOURING TL  81H,2686
20260104,1325217514082HURL1,175/65R14 UX ROYALE TL 82 H SASO,439
20260104,1325217514082HURL2,NA,387
20260104,1325217514082HURP0,175/65R14 UX ROYALE TL 82H (Punture Guard),1583
20260104,1325217514082HVECL,175/65R14 VECTRA TL 82 H Low weight,2116
20260104,1325217514082TTMX0,175/65 R14 TAXIMAX TL  82 T,6167
20260104,1325217514082TUTR0,175/65 R14 UX TOURING 82T TL,410
20260104,1325217514082TVECH,175/65R14 VECTRA TL 82 T 2UA,3605
20260104,1325217515084HURP0,NA,1042
20260104,1325217613082TUNE2,NA,2495
20260104,1325217614084HURL1,175/70 R14 UX ROYALE TL 84 H SASO,402
20260104,1325217614084HURL2,175/70 R 14 UX ROYALE TL 84 H LOW WT.,1801
20260104,1325217614084HURL2,175/70 R14 UX ROYALE TL 84 H,1801
20260104,1325218414082HUSP0,NA,2547
20260104,1325218415084TTMX0,185/60 R 15 TAXIMAX TL   84T,3668
20260104,1325218514086HURL0,185/65R14 UX Royale,2545
20260104,1325218515088HTMX0,185/65 R15 TAXI MAX TL,5131
20260104,1325218515088HURL1,185/65 R15 UX ROYALE TL  88H SASO,1174
20260104,1325218515088HURP0,185/65 R15 UX ROYALE TL  88H,1436
20260104,1325218515088HUTR0,185/65 R15 UX TOURING TL 88 H,4490
20260104,1325218515088TURL0,185/65 R15 UX ROYALE TL  88T  YSD,3787
20260104,1325218614088HURL0,185/70R14 UX Royale,3264
20260104,1325218614088TVECE,185/70R14 Vectra,828
20260104,1325219316087VURL0,195/55R16 UX ROYALE TL  87V,5138
20260104,1325219316087VURP0,195/55R16 UX ROYALE TL  87V Puncture Guard,2154
20260104,1325219316087VUTR0,195/55R16 UX TOURING TL,4120
20260104,1325219416089HRHE0,195/60R16 Ranger HPE TL,1769
20260104,1325219515091VURL0,195/65 R15 UX ROYALE TL   91V,225
20260104,1325220316091VURL1,205/55 R 16 UX ROYALE TL  91V,3925
20260104,1325220416092VURL0,205/60R16  UX ROYALE   TL  92V,1153
20260104,1325220515094VURL1,205/65 R15 UX-ROYALE TL  94V SASO,527
20260104,1325220515094VUTR0,205/65R15 UX TOURING TL  94V,2811
20260104,1325220515094VZEP0,205/65 R15 ZEPHYR  TL   94 V,978
20260104,1325220516095HTMX0,NA,5045
20260104,1325220516095HUTR0,205/65R16UX TOURING TL 95H,1674
20260104,1325221317098VUX10,215/55R17UX1 TL 98 V,1693
20260104,1325221416095VURL0,215/60 R16 UX ROYALE TL YAD MC -MSIL ,9375
